,ORGQ_ID,RELQ_CATEGORY,RELQ_DATE,RELQ_ID,RELQ_RANKING_ORDER,RELQ_RELEVANCE2ORGQ,RELQ_USERID,RELQ_USERNAME,RELQ_text,ORGQ_SUBJECT,ORGQ_TEXT,genre
0,Q1,Qatar Living Lounge,2010-08-27 01:38:59,Q1_R1,1,PerfectMatch,U1,sognabodl,is there any place i can find scented massage oils in qatar?,Massage oil,Where I can buy good oil for massage?,none
1,Q1,Advice and Help,2010-09-17 09:30:26,Q1_R6,6,Relevant,U5,ihthysham,Hi;Can any one tell me a place where i can have a good massage drom philipinies????? yesterday i had a massage in Bio-Bil they charged me 300qr for 01 hour bt it is totally waste... pls advice me if theres any philipinos....,Massage oil,Where I can buy good oil for massage?,none
2,Q1,Qatar Living Lounge,2008-04-27 12:29:54,Q1_R8,8,Irrelevant,U13,irrysa,Tell me; where is the best place to go for a massage? Mind you; I don't want to spend 1000QR for it... (Guys; please don't come up with answers that you would gladly do it yourself; plz...) ,Massage oil,Where I can buy good oil for massage?,none
3,Q1,Qatar Living Lounge,2006-11-08 11:33:10,Q1_R10,10,Relevant,U18,gringer,hi there; i can see a lot of massage center here; but i dont which one is better. can someone help me which massage center is good...and how much will it cost me? thanks,Massage oil,Where I can buy good oil for massage?,none
4,Q1,Qatar Living Lounge,2012-01-09 11:28:38,Q1_R22,22,Irrelevant,U26,Cryptic-writings,What attracts you more ?,Massage oil,Where I can buy good oil for massage?,none
5,Q1,Qatar Living Lounge,2007-12-06 08:45:11,Q1_R25,25,Irrelevant,U2,anonymous,[img_assist|nid=54388|title=Placenta cream ????|desc=|link=none|align=left|width=440|height=388] What the hell do you do with Placenta cream ??????,Massage oil,Where I can buy good oil for massage?,none
6,Q1,Qatar Living Lounge,2007-12-05 07:57:31,Q1_R27,27,Irrelevant,U41,bajesus,Any suggestions on how to get rid of them??,Massage oil,Where I can buy good oil for massage?,none
7,Q1,Doha Shopping,2011-07-24 20:47:16,Q1_R32,32,PerfectMatch,U46,Amal22,Can someone please advise me my husband wants to get Tea Tree Oil pure in Doha? thank you,Massage oil,Where I can buy good oil for massage?,none
8,Q1,Advice and Help,2010-06-12 13:58:08,Q1_R43,43,Irrelevant,U2,anonymous,"plz help we are living in hell for 24 days he tried all kind of medicine that was advised to him we tried years before """"hugama"""" ; acupuncture deferent oils ; teas if any one have any idea or experience with this kind of sickness plz give me advise""",Massage oil,Where I can buy good oil for massage?,none
9,Q1,Qatar Living Lounge,2009-06-14 13:31:58,Q1_R46,46,Irrelevant,U57,wheels_86,Can someone please tell me where can i find Garlic Oil in Qatar? i heard it is good for hairfall. dont know if its true or not but really want to try it. So help me guys!,Massage oil,Where I can buy good oil for massage?,none
10,Q2,Advice and Help,2014-08-20 10:36:22,Q2_R20,20,Relevant,U63,peylenzkie,Hi all need your help/advice we'll be in Qatar next week; me on a working visa and tourist visa for my family (wife son;daughter). My query is can I convert their tourist visa to family visit visa even I dont have yet a Qatar ID? My profession in visa is Civil Engineer. Thanks in advance..,Can i exptend my family visit visa after 6 month??,Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,none
11,Q2,Visas and Permits,2010-05-21 17:45:29,Q2_R21,21,PerfectMatch,U72,Jomans,I'm currently in Doha on a 3 month Visit Visa. Anybody can please tell me; whether I can extend this futher more; maximum of how many months?,Can i exptend my family visit visa after 6 month??,Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,none
12,Q2,Advice and Help,2015-01-05 13:30:57,Q2_R32,32,Relevant,U78,misisrecipe,My visa is expiring real soon (completed 6th months). Can my husband re-apply for a family visit visa while I exit in near country like UAE; waiting for my visa to process? Or I have to exit to my country of origin before he re apply for a family visit? Has anyone tried this procedure? Thank you very much.,Can i exptend my family visit visa after 6 month??,Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,none
13,Q2,Advice and Help,2012-11-11 11:36:24,Q2_R46,46,Relevant,U85,dyollmaj,Dear All; I would like to ask some help/advice from you regarding my sister's in law visa; she is under my sponsorship (family visit visa) and her visa will be expired on Nov.17;2012 (3months from the time she arrive in Doha). My question is; can I still extend her visa for another (1)one month? Please help and advice! Thank you!,Can i exptend my family visit visa after 6 month??,Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,none
14,Q2,Visas and Permits,2012-05-03 08:32:19,Q2_R60,60,PerfectMatch,U2,anonymous,Dear you know imigration having any particular time for extending family visit visa? In doha; imigration office only in madina kalifa or ? which time & which days captain available there? We need to extend our family visit visa this month end then six months finished... Please help me ...,Can i exptend my family visit visa after 6 month??,Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,none
15,Q2,Visas and Permits,2012-07-24 00:56:30,Q2_R65,65,Irrelevant,U94,zamilo,My sponsor; who is my brother; recently applied for a visit visa extension for me. It was approved and I was extended for another 4 months. But the thing is the visa extension is just a printed form and not a sticker that should have been posted in my passport. Anyone who can comment on this? Is this really the new system? Or have we missed something?,Can i exptend my family visit visa after 6 month??,Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,none
16,Q2,Working in Qatar,2014-04-28 12:53:27,Q2_R74,74,Relevant,U101,zakhc07,Is it a requirement to have my name on my wife's passport to get a family visit visa for 6 months? What are the other documents required to get a family visit visa (6 months) and within how many days this visa is issued? Thanks.,Can i exptend my family visit visa after 6 month??,Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,none
17,Q2,Visas and Permits,2012-01-23 08:02:50,Q2_R80,80,Irrelevant,U108,amyusoof,Return ticket required for the Family visit visa ? My family coming on 26th January in visit visa; do they need return ticket to enter into the qatar ? .. Kindly reply....,Can i exptend my family visit visa after 6 month??,Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,none
18,Q2,Visas and Permits,2012-11-06 22:39:26,Q2_R81,81,Relevant,U110,mazira,Hi; My husband started to work in qatar last week under work visa. currently he is in the process to apply residence permit. According to the company he worked for; I can only join him after 6 months since he need 6 months bank statement to apply my visa. Currently I am in Malaysia and planning to go there next month. May I know what is the suitable visa should i get and what are procedures to get it. Thanks.,Can i exptend my family visit visa after 6 month??,Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,none
